id;title;category;language;link;key;stanza1;stanza2;stanza3;stanza4;stanza5;stanza6;stanza7
21;Lingkupiku ;Worship;IDN;https://www.youtube.com/watch?v=qxe4Ur133Ec&list=RDqxe4Ur133Ec&start_radio=1;;"Verse 1$$Lingkupiku
Dengan sayap-Mu
Naungiku
Dalam kuasa-Mu";"Chorus$$Di saat badai bergelora
Ku akan terbang bersama-Mu
Bapa Kau Raja atas s'mesta
Ku tenang s'bab Kau Allahku";"Verse 2$$Jiwaku tenang
Dalam Kristus
Lihat kuasa-Nya
Dalam keheningan";;;;
22;Dengan-Mu Tuhan;Praise;IDN;https://www.youtube.com/watch?v=MWWZsl-JVNg&list=RDMWWZsl-JVNg&start_radio=1;;"Verse 1$$Tak pernah ‘ku ragu akan kesetiaanMu
Kau pegang hidupku
Sepenuh jiwaku ‘ku yakin dan percaya
Kau tuntun langkahku

Yesus Kaulah Raja dalam hidupku
Berkuasa berjaya untuk s’lamanya";"Chorus$$Hanya Kau Tuhan sumber kekuatan
KuasaMu tercurah bagiku s’nantiasa
DenganMu Tuhan ’ku ‘kan berjalan
Dari kemuliaan sampai kemuliaan s’lamanya";;;;;
23;Ku Dibr'i Kuasa;Praise;IDN;https://www.youtube.com/watch?v=OfKWi_WJv7I&list=RDOfKWi_WJv7I&start_radio=1;;"Verse 1$$Ku diberi kuasa dari Raja mulia
Menaklukkan musuh di bawah kakiku
Kupakai kuasa dari Raja mulia
Bila Allah ada bersamaku siapa jadi lawanku";"Chorus$$Sungguh besar Kau Tuhanku
Engkau perisai hidupku
Ku berdiri dengan iman
Iman dalam Yesus Tuhan

Kau yang memb'ri kemenangan
Ku bersorak merayakan
Terpujilah Engkau Raja s'gala raja";;;;;
24;How Great Is Our God;Praise;ENG;https://www.youtube.com/watch?v=KBD18rsVJHk&list=RDKBD18rsVJHk&start_radio=1;;"Verse 1$$The splendor of a King, clothed in majesty
Let all the Earth rejoice
All the Earth rejoice

He wraps himself in light
And darkness tries to hide
And trembles at His voice
Trembles at His voice";"Chorus$$How great is our God, sing with me
How great is our God, and all will see
How great, how great is our God";"Verse 2$$Age to age He stands
And time is in His hands
Beginning and the end
Beginning and the end

The Godhead Three in One
Father Spirit Son
The Lion and the Lamb
The Lion and the Lamb";"Bridge$$Name above all names
Worthy of our praise
My heart will sing
How great is our God";;;
25;Yesus pada-Mu Kuberseru;Worship;IDN;https://www.youtube.com/watch?v=1PL6wKH83I0&list=RD1PL6wKH83I0&start_radio=1;;"Verse 1$$Kau Tuhan penolong dalam hidupku
Ku percaya hanya kepada-Mu
Kau pegang tanganku dan tuntun langkahku
Yesus Kau perlindunganku

Kau Tuhan kekuatan dalam hidupku
Penolongku dalam kesesakan
Kau gunung batuku dan pertahananku
Yesus Kau kemenanganku";"Chorus$$Yesus pada-Mu ku berseru
Kaulah penyelamatku
Terpujilah Kau Tuhanku

Mulutku memuji nama-Mu
S’panjang umur hidupku
Terpujilah Kau Tuhanku
Di atas s’galanya";;;;;
26;Ku Nyanyi Haleluya;Worship;IDN;https://www.youtube.com/watch?v=uAzf_0RQZtQ&list=RDuAzf_0RQZtQ&start_radio=1;;"Verse 1$$Bapa, Ku datang
MenyembahMu disini
Ku percaya Kau
Ada bagiku";"Pre-Chorus$$Tak usah ku takut, sebab Kau sertaku
Tak usah ku bimbang, Kau di dalamku
Tak usah ku cemas, Kau penghiburku
Saat ku lemah, Kau kuatku";"Chorus$$Kunyanyi haleluya
Kunyanyi haleluya
Sungguh Kau hebat
Ajaib perkasa
PerbuatanMu
 
Kunyanyi haleluya
Kunyanyi haleluya
Sungguh Kau hebat
Ajaib perkasa
PerbuatanMu di hidupku";;;;
27;Sampai Akhir Hidupku ;Worship;IDN;https://www.youtube.com/watch?v=oXNn1fIXir8&list=RDoXNn1fIXir8&start_radio=1;;"Verse 1$$Bapa, Engkau mengenalku
Lebih dari siapapun
Engkau tahu, ceritaku
Dan isi hatiku

Tak peduli masa lalu
Engkau tetap memilihku
Ubahkanku, sempurnakan
Jadi karya yang indah";"Chorus$$Kini aku percaya
Tiada yang mustahil bagi-Mu
Kuasa-Mu, kuatkanku
Dasar kuberharap

Kini aku berserah
Pada rancangan-Mu bagiku
Kuikuti panggilan-Mu
Kukan setia sampai akhir hidupku ";;;;;
28;Kita Dipilih;Praise;IDN;https://www.youtube.com/watch?v=sDxjzDa6lG0&list=RDsDxjzDa6lG0&start_radio=1;;"Verse 1$$Kita dipilih
Dan dikuduskan
Tuk membritakan
Perbuatan nya

Sekarang saatnya
Bangkit nyatakan
Yesuslah raja pemenang";"Chorus$$Untuk s'lamanya Dia berkuasa
T'lah dib'rikan bagi kita
Kerajaan yang 'tak akan terguncangkan
Sampai s'lamanya pengharapan
Bergelora dalam kita
Kekal mulia nama-Mu Yesus Tuhan";"Verse 2$$Kita berdiri
Dengan kuasa
S'bab Roh yang dahsyat
Beserta kita

S'karang saatnya
Bangkit nyatakan
Yesuslah Raja Pemenang";;;;
29;Bapa Kau Setia;Worship;IDN;https://www.youtube.com/watch?v=durIseYuQCk&list=RDdurIseYuQCk&start_radio=1;;"Verse 1$$Bapa Kau setia, Bapa Kau mulia
Tenanglah, jiwaku aman bersamaMu
Lebih dari harta, Kaulah segalanya
Tenanglah, jiwaku dalam hadiratMu

Kau tunjukkan kasih setiaMu
Kau menyediakan yang ′ku perlu
Kau setia, Kau mulia
Dulu, sekarang, dan selamanya";"Chorus$$Kautunjukkan kasih setia-Mu
Kau menyediakan yang ku perlu
Kau setia, Kau mulia
Dulu, s’karang dan s’lamanya

Kautunjukkan kasih setia-Mu
Kau menyediakan yang ku perlu
Kau setia, Kau mulia
Bapa Kau setia";;;;;
30;Bersama-Mu;Worship;IDN;https://www.youtube.com/watch?v=peNXv8fPjL4&list=RDpeNXv8fPjL4&start_radio=1;;"Verse 1$$Engkau ada bersamaku
Di s'tiap musim hidupku
Tak pernah Kau biarkan ku sendiri
Kekuatan di jiwaku
Adalah bersama-Mu
Tak pernah kuragukan kasih-Mu";"Chorus$$Bersama-Mu Bapa
Kulewati semua
Perkenanan-Mu yang
Teguhkan hatiku
Engkau yang bertindak
Memb’ri pertolongan
Anugerah-Mu besar melimpah bagiku";"Verse2$$Kekuatan di jiwaku
Adalah bersama-Mu
Tak pernah kuragukan kasih-Mu";;;;
31;S'perti Rusa Rindu Sungaimu;Worship;IDN;https://www.youtube.com/watch?v=GC1Lqq8ILhc&list=RDGC1Lqq8ILhc&start_radio=1;;"Verse 1$$Seperti rusa rindu sungaiMu
Jiwaku rindu Engkau
Kaulah Tuhan hasrat hatiku
Ku rindu menyembahMu";"Chorus$$Kaulah kekuatan dan perisaiku
KepadaMu rohku berserah
Kaulah Tuhan hasrat hatiku
Ku rindu menyembahMu

Yesus..Yesus..
Kau berarti bagiku..
Yesus..Yesus..
Kau segalanya bagiku";;;;;
